vpn,itlb_hit,dtlb_hit,stlb_hit,stlb_ptw
1003965,0,500,0,1
1003966,0,494,0,1
1003967,0,505,0,1
1003968,0,499,0,1
1003969,0,502,0,1
1003970,0,499,0,1
1003971,0,500,0,1
1003972,0,504,0,1
1003973,0,497,0,1
1003974,0,502,0,1
1003975,0,500,0,1
1003976,0,501,0,1
1003977,0,501,0,1
1003978,0,504,0,1
1003979,0,503,0,1
1003980,0,500,0,1
1003981,0,502,0,1
1003982,0,502,0,1
1003983,0,502,0,1
1003984,0,506,0,1
1003985,0,503,0,1
1003986,0,501,0,1
1003987,0,500,0,1
1003988,0,502,0,1
1003989,0,501,0,1
1003990,0,504,0,1
1003991,0,503,0,1
1003992,0,502,0,1
1003993,0,505,0,1
1003994,0,496,0,1
1003995,0,501,0,1
1003996,0,505,0,1
1003997,0,502,0,1
1003998,0,501,0,1
1003999,0,505,0,1
1004000,0,502,0,1
1004001,0,506,0,1
1004002,0,477,0,1
1004097,0,73,0,1
1004098,0,227,0,1
1004139,0,308,0,1
1004140,0,493,0,1
1004141,0,139,0,1
1004145,0,341,0,1
1004146,0,495,0,1
1004147,0,496,0,1
1004148,0,494,0,1
1004149,0,494,0,1
1004150,0,495,0,1
1004151,0,126,0,1
1004255,0,318,0,1
1004417,0,367,0,1
1004418,0,497,0,1
1004419,0,48,0,1
1004420,0,91,0,1
1004491,0,466,0,1
1004492,0,491,0,1
1004493,0,0,0,1
1004570,0,26,0,1
100464,0,34,0,1
100465,0,54,0,1
1004692,0,89,0,1
1004693,0,493,0,1
1004694,0,355,0,1
1004716,0,156,0,1
1004717,0,490,0,1
1004718,0,366,0,1
1004727,0,103,0,1
1004728,0,502,0,1
1004729,0,506,0,1
1004730,0,504,0,1
1004731,0,499,0,1
1004732,0,503,0,1
1004733,0,382,0,1
1004751,0,380,0,1
1004752,0,496,0,1
1004753,0,490,0,1
1004754,0,483,0,1
1004755,0,486,0,1
1004756,0,489,0,1
1004757,0,160,0,1
100481,0,319,0,1
1004816,0,284,1,1
100482,0,502,0,1
1004825,0,6,0,1
100483,0,496,0,1
100484,0,496,0,1
100485,0,495,0,1
100486,0,499,0,1
1004861,0,411,0,1
1004862,0,502,0,1
1004863,0,501,0,1
1004864,0,502,0,1
1004865,0,495,1,1
1004866,0,498,0,1
1004867,0,500,0,1
1004868,0,499,0,1
1004869,0,492,0,1
100487,0,146,0,1
1004870,0,494,0,1
1004871,0,502,0,1
1004872,0,497,0,1
1004873,0,495,0,1
1004874,0,498,0,1
1004875,0,496,0,1
1004876,0,491,0,1
1004877,0,502,0,1
1004878,0,462,0,1
1004896,0,34,0,1
1004898,0,106,0,1
1004899,0,494,0,1
1004900,0,331,0,1
1004903,0,27,0,1
1005049,0,310,0,1
1005050,0,488,0,1
1005051,0,156,0,1
1005280,0,93,0,1
1005283,0,316,0,1
1005284,0,491,0,1
1005285,0,147,0,1
1005292,0,219,0,1
1005293,0,503,0,1
1005294,0,500,0,1
1005295,0,502,0,1
1005296,0,498,0,1
1005297,0,501,0,1
1005298,0,502,0,1
1005299,0,498,0,1
1005300,0,508,0,1
1005301,0,503,0,1
1005302,0,498,0,1
1005303,0,501,0,1
1005304,0,499,0,1
1005305,0,502,0,1
1005306,0,498,0,1
1005307,0,502,0,1
1005308,0,502,0,1
1005309,0,502,0,1
1005310,0,500,0,2
1005311,0,497,0,1
1005312,0,493,0,1
1005313,0,500,0,1
1005314,0,492,0,1
1005315,0,496,0,1
1005316,0,95,0,1
1005339,0,12,0,1
1005340,0,4,0,1
100538,0,285,0,1
1005473,0,38,0,1
1005474,0,499,0,1
1005475,0,430,0,1
1005522,0,309,0,1
1005523,0,12,0,1
1005559,0,340,0,1
1005560,0,497,0,1
1005561,0,493,0,1
1005562,0,495,0,1
1005563,0,498,0,1
1005564,0,495,0,1
1005565,0,497,0,1
1005566,0,497,0,1
1005567,0,496,0,1
1005568,0,502,0,1
1005569,0,492,0,1
1005570,0,496,0,1
1005571,0,500,0,1
1005572,0,500,0,1
1005573,0,495,0,1
1005574,0,491,0,1
1005575,0,499,0,1
1005576,0,493,0,1
1005577,0,495,0,1
1005578,0,499,0,1
1005579,0,497,0,1
1005580,0,497,0,1
1005581,0,495,0,1
1005582,0,494,0,1
1005583,0,496,0,1
1005584,0,497,0,1
1005585,0,495,0,1
1005586,0,501,0,1
