vpn,itlb_hit,dtlb_hit,stlb_hit,stlb_ptw
209458,0,821,0,3
209459,0,811,0,3
209460,0,817,0,3
209461,0,842,0,3
209462,0,798,0,3
209463,0,814,0,3
209464,0,806,0,3
209465,0,833,0,3
209466,0,830,0,3
209467,0,850,0,3
209468,0,831,0,3
209469,0,824,0,3
209470,0,824,0,3
209471,0,804,0,3
209472,0,790,0,3
209473,0,810,0,3
209474,0,814,0,3
209475,0,838,0,3
209476,0,810,0,3
209477,0,829,0,4
209478,0,827,0,3
209479,0,800,0,3
209480,0,798,0,3
209481,0,827,0,3
209482,0,813,0,3
209483,0,814,0,3
209484,0,822,0,3
209485,0,799,0,3
209486,0,830,0,3
209487,0,815,0,3
209488,0,829,0,3
209489,0,833,0,3
209490,0,846,0,3
209491,0,819,0,3
209492,0,803,0,3
209493,0,774,2,3
209494,0,829,0,3
209495,0,802,0,3
209496,0,848,0,3
209497,0,841,0,3
209498,0,842,0,3
209499,0,821,0,3
209500,0,829,0,4
209501,0,839,0,3
209502,0,819,0,3
209503,0,830,0,3
209504,0,803,0,3
209505,0,806,1,3
209506,0,813,0,4
209507,0,806,0,3
209508,0,858,0,3
209509,0,827,0,3
209510,0,815,0,3
209511,0,810,0,3
209512,0,791,0,3
209513,0,840,0,3
209514,0,802,0,3
209515,0,822,0,3
209516,0,809,0,3
209517,0,830,0,3
209518,0,815,0,4
209519,0,827,0,3
209520,0,789,0,3
209521,0,820,0,3
209522,0,827,0,3
209523,0,818,0,3
209524,0,773,0,3
209525,0,823,0,3
209526,0,832,0,3
209527,0,787,0,3
209528,0,789,0,3
209529,0,808,0,4
209530,0,814,0,3
209531,0,801,0,3
209532,0,841,0,3
209533,0,789,0,3
209534,0,814,0,3
209535,0,831,0,3
209536,0,825,0,3
209537,0,812,0,3
209538,0,817,0,3
209539,0,810,0,3
209540,0,796,0,3
209541,0,826,0,3
209542,0,800,0,3
209543,0,810,0,3
209544,0,816,0,3
209545,0,807,0,3
209546,0,847,0,4
209547,0,823,0,3
209548,0,786,0,3
209549,0,791,0,3
209550,0,796,0,3
209551,0,813,0,3
209552,0,838,0,3
209553,0,815,0,3
209554,0,837,0,3
209555,0,806,0,3
209556,0,779,0,3
209557,0,814,0,3
209558,0,810,1,3
209559,0,848,0,3
209560,0,814,0,3
209561,0,815,0,3
209562,0,827,0,3
209563,0,842,0,3
209564,0,834,0,3
209565,0,804,0,3
209566,0,828,0,3
209567,0,822,0,3
209568,0,820,0,3
209569,0,838,0,3
209570,0,808,0,3
209571,0,806,0,4
209572,0,799,0,3
209573,0,836,0,3
209574,0,831,0,3
209575,0,835,0,3
209576,0,809,0,4
209577,0,846,0,3
209578,0,828,0,3
209579,0,827,0,3
209580,0,809,0,3
209581,0,846,0,4
209582,0,810,0,3
209583,0,819,0,3
209584,0,837,0,3
209585,0,826,0,3
209586,0,790,0,3
209587,0,834,0,4
209588,0,809,0,3
209589,0,817,0,3
209590,0,831,0,4
209591,0,836,0,3
209592,0,847,0,3
209593,0,838,0,3
209594,0,818,0,3
209595,0,832,0,3
209596,0,833,0,3
209597,0,822,0,3
209598,0,774,0,3
209599,0,831,0,3
209600,0,824,0,3
209601,0,829,0,3
209602,0,813,0,3
209603,0,823,0,3
209604,0,836,0,3
209605,0,826,0,3
209606,0,798,0,3
209607,0,829,0,3
209608,0,813,0,3
209609,0,813,0,3
209610,0,779,0,3
209611,0,854,0,4
209612,0,789,0,4
209613,0,792,0,3
209614,0,820,0,3
209615,0,840,0,3
209616,0,851,0,3
209617,0,821,0,3
209618,0,814,0,3
209619,0,811,0,3
209620,0,824,0,3
209621,0,820,1,3
209622,0,836,0,3
209623,0,829,0,3
209624,0,819,0,3
209625,0,813,0,3
209626,0,814,0,3
209627,0,826,0,3
209628,0,802,0,3
209629,0,823,0,3
209630,0,822,0,3
209631,0,818,0,3
209632,0,817,0,3
209633,0,830,0,4
209634,0,810,0,3
209635,0,831,0,3
209636,0,827,0,3
209637,0,807,0,3
209638,0,816,0,3
209639,0,815,0,3
209640,0,825,0,3
209641,0,808,0,3
209642,0,829,0,3
209643,0,819,0,3
209644,0,812,0,4
209645,0,786,0,3
209646,0,822,0,3
209647,0,821,0,3
209648,0,830,0,3
209649,0,833,0,3
209650,0,830,0,3
209651,0,814,0,3
209652,0,808,0,3
209653,0,813,0,3
209654,0,843,0,3
209655,0,804,0,3
209656,0,813,1,3
209657,0,795,0,3
209658,0,820,0,3
209659,0,817,0,3
209660,0,810,0,3
209661,0,811,0,3
209662,0,833,0,3
209663,0,809,0,3
209664,0,814,0,3
209665,0,828,0,3
209666,0,807,0,3
209667,0,806,0,3
209668,0,817,0,3
209669,0,835,0,4
209670,0,829,0,3
209671,0,806,0,3
209672,0,831,0,3
209673,0,811,0,3
209674,0,828,0,3
209675,0,824,0,3
209676,0,816,0,3
209677,0,812,0,3
209678,0,830,0,3
209679,0,818,0,3
209680,0,841,0,3
209681,0,832,0,3
209682,0,822,0,3
209683,0,821,0,3
209684,0,829,0,3
209685,0,802,0,3
209686,0,827,0,3
209687,0,827,0,3
209688,0,808,1,3
209689,0,845,0,3
209690,0,821,0,3
209691,0,817,0,3
209692,0,828,0,3
209693,0,850,0,3
209694,0,819,0,3
209695,0,828,0,4
209696,0,810,0,3
209697,0,813,0,3
209698,0,822,0,3
209699,0,822,0,4
209700,0,793,0,4
209701,0,816,0,3
209702,0,830,0,3
209703,0,795,0,3
209704,0,841,0,3
209705,0,799,0,3
209706,0,784,0,3
209707,0,810,0,3
209708,0,823,0,3
209709,0,848,0,3
209710,0,804,0,3
209711,0,781,0,3
209712,0,823,0,3
209713,0,816,0,3
209714,0,800,0,3
209715,0,814,0,3
209716,0,828,0,3
209717,0,807,0,3
209718,0,810,0,3
209719,0,826,0,3
209720,0,838,0,3
209721,0,830,0,3
209722,0,813,0,3
209723,0,831,0,3
209724,0,817,0,3
209725,0,809,0,3
209726,0,804,0,3
209727,0,834,0,3
209728,0,782,0,3
209729,0,819,0,4
209730,0,810,0,3
209731,0,804,0,3
209732,0,837,0,3
209733,0,790,0,3
209734,0,808,0,3
209735,0,815,0,3
209736,0,833,0,3
209737,0,812,0,3
209738,0,818,0,3
209739,0,818,0,4
209740,0,853,0,3
209741,0,814,0,3
209742,0,782,0,4
209743,0,811,0,3
209744,0,828,0,3
209745,0,818,0,3
209746,0,827,0,3
209747,0,843,0,3
209748,0,809,0,3
209749,0,822,0,3
209750,0,829,0,3
209751,0,835,0,3
209752,0,816,0,4
209753,0,829,0,3
209754,0,805,0,3
209755,0,800,0,3
209756,0,786,0,3
209757,0,792,0,3
209758,0,825,0,3
209759,0,826,0,3
209760,0,808,0,3
209761,0,835,0,3
209762,0,861,0,3
209763,0,822,0,3
209764,0,792,0,4
209765,0,822,1,3
209766,0,829,0,4
209767,0,799,0,3
209768,0,798,0,3
209769,0,812,0,3
209770,0,827,0,3
209771,0,821,0,3
209772,0,832,0,3
209773,0,820,0,3
209774,0,815,0,3
209775,0,801,0,3
209776,0,820,0,4
209777,0,811,0,3
209778,0,838,0,3
209779,0,842,0,3
209780,0,823,0,3
209781,0,827,0,3
209782,0,837,0,3
209783,0,837,0,3
209784,0,809,0,3
209785,0,822,0,3
209786,0,838,0,3
209787,0,819,0,3
209788,0,838,0,3
209789,0,805,0,3
209790,0,826,0,3
209791,0,823,0,3
209792,0,815,0,3
209793,0,835,0,3
209794,0,821,0,3
209795,0,815,0,3
209796,0,826,0,3
209797,0,808,0,3
209798,0,812,0,3
209799,0,813,0,3
209800,0,827,0,3
209801,0,845,0,3
209802,0,811,0,3
209803,0,835,0,3
209804,0,813,0,3
209805,0,819,0,3
209806,0,823,0,3
209807,0,800,0,3
209808,0,820,0,3
209809,0,801,0,3
209810,0,845,0,3
209811,0,815,0,3
209812,0,818,0,3
209813,0,851,0,3
209814,0,810,0,3
209815,0,823,0,3
209816,0,823,0,3
209817,0,831,0,3
209818,0,824,1,3
209819,0,813,0,3
209820,0,798,0,3
209821,0,802,0,3
209822,0,829,0,3
209823,0,843,0,3
209824,0,814,0,3
209825,0,819,0,3
209826,0,822,0,3
209827,0,821,0,3
209828,0,820,0,3
209829,0,809,0,3
209830,0,835,0,3
209831,0,841,0,3
209832,0,806,0,3
209833,0,820,0,4
209834,0,806,0,3
209835,0,807,1,3
209836,0,833,0,3
209837,0,782,0,3
209838,0,814,0,3
209839,0,798,0,3
209840,0,800,0,3
209841,0,820,0,3
209842,0,816,0,3
209843,0,840,0,3
209844,0,818,0,3
209845,0,823,0,3
209846,0,835,0,3
209847,0,842,0,3
209848,0,833,0,4
209849,0,840,0,4
209850,0,835,0,3
209851,0,809,0,4
209852,0,839,0,3
209853,0,826,0,3
209854,0,830,0,3
209855,0,823,0,3
209856,0,803,0,4
209857,0,851,0,3
209858,0,826,0,3
209859,0,812,0,3
209860,0,823,0,3
209861,0,835,0,3
209862,0,804,0,3
209863,0,829,0,3
209864,0,816,0,4
209865,0,787,0,3
209866,0,806,0,3
209867,0,847,0,3
209868,0,802,0,3
209869,0,828,0,3
209870,0,831,0,3
209871,0,806,0,3
209872,0,817,0,3
209873,0,825,0,3
209874,0,834,0,3
209875,0,798,0,3
209876,0,817,0,3
209877,0,820,0,3
209878,0,834,0,3
209879,0,820,0,3
209880,0,812,0,3
209881,0,804,0,3
209882,0,842,0,4
209883,0,825,0,3
209884,0,827,0,3
209885,0,846,0,3
209886,0,797,0,4
209887,0,812,0,3
209888,0,803,0,3
209889,0,820,0,3
209890,0,814,0,3
209891,0,813,0,3
209892,0,845,0,3
209893,0,803,0,3
209894,0,839,0,3
209895,0,821,0,3
209896,0,836,0,3
209897,0,852,0,3
209898,0,821,0,3
209899,0,793,0,3
209900,0,841,0,3
209901,0,800,0,3
