cycle      , unique_vpns, max_counter, mean_counter   , median_counter, std_counter        , approx_ws_ge_1, approx_ws_ge_4, approx_ws_ge_16, approx_ws_ge_32, common_vpns, new_vpns, pages_accessed_flag
 9399292452,        4096,         152, 11.766845703125,           12.0, 11.1195380030815   ,           2851,           2787,            1294,             179,        3151,      945,                1941
 9409293563,        4096,         169, 11.80859375    ,           12.0, 11.16854121477872  ,           2823,           2767,            1296,             196,        3147,      949,                1929
 9419293676,        4096,         108, 11.976806640625,           12.0, 11.196452386915059 ,           2853,           2798,            1339,             196,        3129,      967,                1944
 9429294366,        4096,         132, 12.11279296875 ,           12.0, 11.63683757228314  ,           2850,           2795,            1350,             204,        3121,      975,                1948
 9439294428,        4096,         289, 12.014404296875,           12.0, 11.822128910198726 ,           2837,           2780,            1375,             186,        3130,      966,                1939
 9449294438,        4096,         149, 12.04541015625 ,           12.0, 11.25207829881704  ,           2849,           2792,            1384,             182,        3153,      943,                1945
 9459294816,        4096,          99, 12.114501953125,           12.0, 11.052534558285966 ,           2851,           2799,            1391,             204,        3156,      940,                1949
 9469295554,        4096,         133, 12.39208984375 ,           12.0, 11.567189755324241 ,           2840,           2796,            1416,             224,        3140,      956,                1937
 9479296294,        4096,          83, 12.33642578125 ,           12.0, 11.077942140520067 ,           2853,           2800,            1453,             212,        3138,      958,                1946
 9489296493,        4096,         302, 11.20947265625 ,           11.0, 11.633442335838673 ,           2820,           2759,            1158,             169,        3067,     1029,                1940
 9499297351,        4096,         167, 11.421142578125,           11.0, 11.299506188359084 ,           2825,           2758,            1211,             167,        3044,     1052,                1906
 9509298113,        4096,         197, 11.6015625     ,           11.0, 11.450766618543222 ,           2848,           2782,            1239,             165,        3112,      984,                1920
 9519299033,        4096,          78, 11.27880859375 ,           11.0, 10.303542518197377 ,           2836,           2768,            1221,             163,        3139,      957,                1936
 9529300061,        4096,         105, 11.5986328125  ,           11.0, 10.972646124547548 ,           2847,           2779,            1238,             200,        3109,      987,                1924
 9539301006,        4096,         192, 11.362548828125,           11.0, 10.872559610682766 ,           2836,           2771,            1198,             152,        3130,      966,                1943
 9549301444,        4096,         145, 11.287353515625,           11.0, 10.587304281139414 ,           2851,           2785,            1192,             150,        3143,      953,                1940
 9559301907,        4096,         230, 11.419677734375,           11.0, 11.165585795028619 ,           2841,           2784,            1207,             170,        3162,      934,                1953
 9569302083,        4096,         127, 11.5166015625  ,           11.0, 10.849206920064367 ,           2847,           2785,            1244,             164,        3148,      948,                1953
 9579303464,        4096,         124, 11.763916015625,           12.0, 11.12581969841758  ,           2844,           2784,            1286,             175,        3128,      968,                1952
 9589304699,        4096,          96, 11.757568359375,           12.0, 10.94328268318053  ,           2838,           2787,            1289,             186,        3120,      976,                1932
 9599323330,        4096,         207, 11.46826171875 ,           11.0, 11.046265829467137 ,           2947,           2885,            1137,             154,        3148,      948,                2014
 9609324111,        4096,         180, 11.017822265625,           11.0, 10.925793947465465 ,           2821,           2762,            1100,             156,        3151,      945,                2022
 9619324954,        4096,         158, 10.914794921875,           11.0, 10.113627672800533 ,           2860,           2796,            1101,             129,        3147,      949,                1947
 9629325886,        4096,          97, 10.771728515625,           11.0,  9.942627978245804 ,           2821,           2760,            1112,             126,        3124,      972,                1927
 9639327253,        4096,          81, 11.116943359375,           11.0, 10.230366392086019 ,           2867,           2808,            1160,             135,        3135,      961,                1949
 9649327261,        4096,         200, 11.088623046875,           11.0, 10.704081045736135 ,           2853,           2794,            1140,             140,        3146,      950,                1960
 9659328691,        4096,         161, 11.003662109375,           11.0, 10.468387879328885 ,           2838,           2784,            1106,             131,        3162,      934,                1976
 9669328848,        4096,          80, 11.12255859375 ,           11.0, 10.160701855856122 ,           2843,           2792,            1150,             142,        3135,      961,                1945
 9679328906,        4096,         122, 11.263671875   ,           11.0, 10.453711614413992 ,           2834,           2783,            1195,             149,        3138,      958,                1944
 9689328945,        4096,         141, 11.41259765625 ,           11.0, 10.95940563022498  ,           2827,           2779,            1195,             157,        3114,      982,                1922
